5693;"Adesmia tenella";"species"
3710;"Adesmia tomentosa";"species"
3711;"Adesmia torcaea";"species"
3712;"Adesmia trifoliata";"species"
3713;"Adesmia trifoliolata";"species"
5862;"Adesmia trijuga";"species"
3714;"Adesmia uspallatensis";"species"
3715;"Adesmia verrucosa";"species"
3716;"Adesmia villosa";"species"
3717;"Adesmia viscida";"species"
3718;"Adesmia viscidissima";"species"
3719;"Adesmia viscosa";"species"
3720;"Adesmia volckmannii";"species"
3721;"Adesmia zoellneri";"species"
129;"Adiantum capillus-veneris";"species"
5473;"Adiantum chilense";"species"
133;"Adiantum excisum";"species"
134;"Adiantum gertrudis";"species"
135;"Adiantum pearcei";"species"
5474;"Adiantum sulphureum";"species"
5852;"Adiantum viscosum";"species"
1382;"Aextoxicon punctatum";"species"
4467;"Agalinis linarioides";"species"
4468;"Agalinis meyeniana";"species"
1844;"Ageratina glechonophylla";"species"
1587;"Ageratum conyzoides";"species"
1588;"Agoseris chilensis";"species"
1589;"Agoseris coronopifolia";"species"
769;"Agropyron cristatum";"species"
3238;"Agrostemma githago";"species"
770;"Agrostis arvensis";"species"
771;"Agrostis brachyathera";"species"
772;"Agrostis breviculmis";"species"
773;"Agrostis capillaris";"species"
774;"Agrostis castellana";"species"
775;"Agrostis gigantea";"species"
5518;"Agrostis glabra";"species"
778;"Agrostis idahoensis";"species"
779;"Agrostis inconspicua";"species"
780;"Agrostis insularis";"species"
781;"Agrostis leptotricha";"species"
782;"Agrostis masafuerana";"species"
783;"Agrostis mertensii";"species"
784;"Agrostis meyenii";"species"
785;"Agrostis perennans";"species"
786;"Agrostis philippiana";"species"
787;"Agrostis scabra";"species"
788;"Agrostis serranoi";"species"
789;"Agrostis stenophylla";"species"
5519;"Agrostis stolonifera";"species"
792;"Agrostis tolucensis";"species"
793;"Agrostis uliginosa";"species"
794;"Agrostis umbellata";"species"
795;"Agrostis vidalii";"species"
796;"Agrostis vinealis";"species"
5020;"Ailanthus altissima";"species"
2733;"Aimara rollinsii";"species"
797;"Aira caryophyllea";"species"
798;"Aira elegantissima";"species"
799;"Aira praecox";"species"
3722;"Albizia lophantha";"species"
1590;"Aldama adenotricha";"species"
1591;"Aldama atacamensis";"species"
1592;"Aldama helianthoides";"species"
1593;"Aldama revoluta";"species"
186;"Alisma lanceolatum";"species"
187;"Alisma plantago-aquatica";"species"
4407;"Allionia incarnata";"species"
5488;"Allium vineale";"species"
2611;"Alnus glutinosa";"species"
5010;"Alonsoa honoraria";"species"
5011;"Alonsoa meridionalis";"species"
800;"Alopecurus aequalis";"species"
5520;"Alopecurus geniculatus";"species"
803;"Alopecurus heleochloides";"species"
804;"Alopecurus lechleri";"species"
5521;"Alopecurus magellanicus";"species"
807;"Alopecurus myosuroides";"species"
808;"Alopecurus pratensis";"species"
5269;"Aloysia deserticola";"species"
5270;"Aloysia gratissima";"species"
5271;"Aloysia salviifolia";"species"
5272;"Aloysia tarapacana";"species"
5273;"Aloysia trifida";"species"
2869;"Alshehbazia friesii";"species"
2734;"Alshehbazia hauthalii";"species"
2870;"Alshehbazia werdermannii";"species"
191;"Alstroemeria achirae";"species"
5476;"Alstroemeria andina";"species"
5477;"Alstroemeria angustifolia";"species"
196;"Alstroemeria aurea";"species"
197;"Alstroemeria citrina";"species"
198;"Alstroemeria crispata";"species"
199;"Alstroemeria cummingiana";"species"
5478;"Alstroemeria diluta";"species"
5451;"Alstroemeria esteparica";"species"
202;"Alstroemeria exerens";"species"
203;"Alstroemeria garaventae";"species"
204;"Alstroemeria graminea";"species"
5479;"Alstroemeria hookeri";"species"
209;"Alstroemeria kingii";"species"
210;"Alstroemeria leporina";"species"
5480;"Alstroemeria ligtu";"species"
214;"Alstroemeria lutea";"species"
5481;"Alstroemeria magnifica";"species"
219;"Alstroemeria marticorenae";"species"
220;"Alstroemeria mollensis";"species"
221;"Alstroemeria pallida";"species"
222;"Alstroemeria parvula";"species"
223;"Alstroemeria patagonica";"species"
224;"Alstroemeria pelegrina";"species"
5482;"Alstroemeria philippii";"species"
227;"Alstroemeria piperata";"species"
228;"Alstroemeria polyphylla";"species"
5483;"Alstroemeria presliana";"species"
231;"Alstroemeria pseudospathulata";"species"
5484;"Alstroemeria pulchra";"species"
235;"Alstroemeria revoluta";"species"
5485;"Alstroemeria schizanthoides";"species"
238;"Alstroemeria spathulata";"species"
239;"Alstroemeria traudliae";"species"
240;"Alstroemeria umbellata";"species"
241;"Alstroemeria versicolor";"species"
242;"Alstroemeria violacea";"species"
5486;"Alstroemeria werdermannii";"species"
245;"Alstroemeria zoellneri";"species"
1398;"Alternanthera halimifolia";"species"
1399;"Alternanthera philoxeroides";"species"
1400;"Alternanthera porrigens";"species"
2735;"Alyssum alyssoides";"species"
1401;"Amaranthus albus";"species"
1402;"Amaranthus asplundii";"species"
5782;"Amaranthus blitum";"species"
1404;"Amaranthus deflexus";"species"
5565;"Amaranthus hybridus";"species"
1407;"Amaranthus looseri";"species"
1408;"Amaranthus retroflexus";"species"
1409;"Amaranthus viridis";"species"
253;"Amaryllis belladona";"species"
5568;"Amblyopappus pusillus";"species"
1596;"Ambrosia arborescens";"species"
1597;"Ambrosia artemisioides";"species"
1598;"Ambrosia chamissonis";"species"
1599;"Ambrosia elatior";"species"
1600;"Ambrosia peruviana";"species"
1601;"Ambrosia tenuifolia";"species"
809;"Amelichloa brachychaeta";"species"
810;"Amelichloa brevipes";"species"
811;"Amelichloa caudata";"species"
4182;"Ammannia coccinea";"species"
4183;"Ammannia latifolia";"species"
1422;"Ammi majus";"species"
1423;"Ammi visnaga";"species"
812;"Ammophila arenaria";"species"
4365;"Amomyrtus luma";"species"
4366;"Amomyrtus meli";"species"
396;"Amphiscirpus nevadensis";"species"
2627;"Amsinckia calycina";"species"
2628;"Amsinckia tessellata";"species"
5737;"Anagallis alternifolia";"species"
1602;"Anaphalis chilensis";"species"
3723;"Anarthrophyllum andicolum";"species"
3724;"Anarthrophyllum cumingii";"species"
5694;"Anarthrophyllum desideratum";"species"
3727;"Anarthrophyllum elegans";"species"
3728;"Anarthrophyllum gayanum";"species"
3729;"Anarthrophyllum rigidum";"species"
815;"Anatherostipa hans-meyeri";"species"
259;"Ancrumia cuspidata";"species"
4194;"Andeimalva chilensis";"species"
4784;"Androsace salasii";"species"
4802;"Anemonastrum antucensis";"species"
4810;"Anemone balliana";"species"
4811;"Anemone chilensis";"species"
5738;"Anemone decapetala";"species"
4805;"Anemone hepaticifolia";"species"
4806;"Anemone moorei";"species"
4807;"Anemone multifida";"species"
4808;"Anemone rigida";"species"
1424;"Anethum graveolens";"species"
4605;"Anisomeria coriacea";"species"
4606;"Anisomeria littoralis";"species"
4195;"Anoda cristata";"species"
138;"Anogramma leptophylla";"species"
2589;"Anredera cordifolia";"species"
2590;"Anredera diffusa";"species"
5569;"Antennaria chilensis";"species"
1605;"Anthemis arvensis";"species"
1606;"Anthemis cotula";"species"
821;"Anthoxanthum juncifolium";"species"
822;"Anthoxanthum odoratum";"species"
823;"Anthoxanthum pusillum";"species"
825;"Anthoxanthum spicatum";"species"
1425;"Anthriscus caucalis";"species"
1426;"Anthriscus sylvestris";"species"
4988;"Antidaphne punctulata";"species"
827;"Apera interrupta";"species"
4891;"Aphanes arvensis";"species"
5742;"Aphanes berteroana";"species"
4894;"Aphanes looseri";"species"
4895;"Aphanes neglecta";"species"
5570;"Aphyllocladus denticulatus";"species"
1427;"Apium chilense";"species"
1428;"Apium fernandezianum";"species"
1429;"Apium graveolens";"species"
1430;"Apium humile";"species"
1431;"Apium nodiflorum";"species"
1432;"Apium panul";"species"
1433;"Apium pimpinellifolium";"species"
1434;"Apium prostratum";"species"
1362;"Apodasmia chilensis";"species"
339;"Aponogeton distachyos";"species"
4809;"Aquilegia vulgaris";"species"
2736;"Arabidopsis thaliana";"species"
395;"Arachnitis uniflora";"species"
3950;"Araeoandra tenuicaulis";"species"
168;"Araucaria araucana";"species"
1544;"Araujia sericifera";"species"
1609;"Archidasyphyllum diacanthoides";"species"
1610;"Archidasyphyllum excelsum";"species"
1611;"Arctium minus";"species"
1612;"Arctotheca calendula";"species"
3239;"Arenaria digyna";"species"
3240;"Arenaria fastigiata";"species"
3241;"Arenaria oligosperma";"species"
3242;"Arenaria pleurantha";"species"
3243;"Arenaria rivularis";"species"
3244;"Arenaria serpens";"species"
3245;"Arenaria serpyllifolia";"species"
4557;"Argemone crassifolia";"species"
4558;"Argemone hunnemannii";"species"
4559;"Argemone rosea";"species"
4560;"Argemone subfusiformis";"species"
5637;"Argylia adscendens";"species"
2614;"Argylia bifrons";"species"
2615;"Argylia bustillosii";"species"
2616;"Argylia checoensis";"species"
2617;"Argylia farnesiana";"species"
2618;"Argylia geranioides";"species"
2619;"Argylia glutinosa";"species"
2620;"Argylia potentillifolia";"species"
2621;"Argylia radiata";"species"
2622;"Argylia tomentosa";"species"
2623;"Argylia uspallatensis";"species"
1613;"Argyranthemum frutescens";"species"
139;"Argyrochosma chilensis";"species"
140;"Argyrochosma nivea";"species"
1845;"Aristeguietia salvia";"species"
828;"Aristida adscensionis";"species"
5522;"Aristida pallens";"species"
831;"Aristida spegazzinii";"species"
1568;"Aristolochia bridgesii";"species"
1569;"Aristolochia chilensis";"species"
1570;"Aristolochia pearcei";"species"
3479;"Aristotelia chilensis";"species"
5006;"Arjona patagonica";"species"
5007;"Arjona pusilla";"species"
5008;"Arjona tuberosa";"species"
4698;"Armeria maritima";"species"
1614;"Arnica angustifolia";"species"
5523;"Arrhenatherum elatius";"species"
1615;"Artemisia absinthium";"species"
5571;"Artemisia copa";"species"
1618;"Artemisia magellanica";"species"
5846;"Artemisia tridentata";"species"
1619;"Artemisia verlotorum";"species"
109;"Arthropteris altescandens";"species"
834;"Arundo donax";"species"
1545;"Asclepias curassavica";"species"
2629;"Asperugo procumbens";"species"
359;"Asphodelus fistulosus";"species"
1;"Asplenium dareoides";"species"
2;"Asplenium gilliesii";"species"
3;"Asplenium macrosorum";"species"
5466;"Asplenium obtusatum";"species"
6;"Asplenium patagonicum";"species"
7;"Asplenium peruvianum";"species"
5766;"Asplenium polyodon";"species"
9;"Asplenium stellatum";"species"
10;"Asplenium trilobum";"species"
11;"Asplenium triphyllum";"species"
361;"Astelia pumila";"species"
3997;"Asteranthera ovata";"species"
1435;"Asteriscium aemocarpon";"species"
1436;"Asteriscium chilense";"species"
1437;"Asteriscium closii";"species"
1438;"Asteriscium vidali";"species"
3730;"Astragalus amatus";"species"
3731;"Astragalus arequipensis";"species"
3732;"Astragalus arnottianus";"species"
3733;"Astragalus bellus";"species"
3734;"Astragalus berteri";"species"
3735;"Astragalus berterianus";"species"
3736;"Astragalus bustillosii";"species"
3737;"Astragalus cachinalensis";"species"
3738;"Astragalus chamissonis";"species"
3739;"Astragalus confinis";"species"
3740;"Astragalus coquimbensis";"species"
3741;"Astragalus cruckshanksii";"species"
3742;"Astragalus cryptanthus";"species"
3743;"Astragalus cryptobotrys";"species"
3744;"Astragalus curvicaulis";"species"
3745;"Astragalus darumbium";"species"
3746;"Astragalus diminutivus";"species"
