Isolepis nodosa
Piptochaetium humile
Cristaria lata
Bowlesia incana
Poa compressa
Anemone  antucensis
Sisyrinchium junceum var. gracile
Senecio bipontinii
Aira anomala
Senecio otaeguianus
Aira spiciformis
Poa pycnantha
Atriplex coquimbana
Mentzelia andina
Thelocephala lembckei
Descurainia glaucescens
Trichopetalum plumosum
Ranunculus glandulifer
Campanula biflora
Astragalus filifolius
Microchloa kunthii
Piptochetium moelleri
Eriosyce odieri subsp. malleolata
Nothofagus obliqua var. glauca
Ugni philippii
Presliophytum sessiliflorum
Juelia subterranea
Archiphyllum brachystachium
Trisetum trinii var. manicatum
Solanum nitidibaccatum
Senecio neaei
Libertia formosa
Valeriana corynodes
Cristaria insularis var. insularis
Ranunculus tridentatus var. minor
Gayophytum humile var. gracile
Carex dessaueri
Apium ammi fma. nanum
Gamocarpha graminea
Mesembryanthemum chilense
Astragalus barceloi
Plantago bicallosa
Pinguicula magellanica
Argyrochosma nivea
Asarca cardioglossa var. patagonica
Cryptocarya berteroana
Geranium commutatum var. oschsenii
Aster marginalis
Asteriscium pungens
Polypogon chilensis
Duvaua latifolia
Senecio leucus
Stangea paulae
Neoporteria fusca
Davallia solida
Leptinella acaenoides
Hordeum lechleri
Sphaeralcea grandifolia
Dicksonia andina
Diplopappus macrocephalus
Calamagrostis scirpiformis
Cortaderia araucana
Nassauvia nivalis
Senecio arnottii
Panargyrum heterophyllum
Colletia ulicina
Saxegothaea conspicua
Pycreus grammicus
Bargemontia divaricata
Lolium multiflorum
Patagonium dichotomum
Menonvillea orbiculata var. parviflora
Chondrosum simplex
Plantago disticha
Blechnum penna-marina fma. polypodioides
Anthobryum clarenii
Ranunculus biternatus
Valeriana interrupta
Senecio alcicornis
Gypothamnium pinifolium
Astragalus alberjilla
Alchemilla calchaquina
Poa shuka
Noticastrum sericeum
Eriosyce senilis subsp. elquiensis
Sida compacta
Acaena rubescens
Epilobium pedunculatum
Trisetum ambiguum
Epilobium lechleri
Viola pseudasterias
Loasa triloba
Calandrinia saxifraga
Acetosella perdicaria
Caesalpinia aphylla
Triglochin andinum
Senecio breviscapus
Calandrinia nitida
Carex aematorhyncha var. aematorhyncha
Phaca dissitiflora
Cardamine bracteata
Lomaria setigera
Adesmia minor var. caespitosa
Acaena closiana
Berberis hakeoides
Macraea rosea
Pycnophyllum spathulatum
Chusquea argentina
Symphyotrichum peteroanum
Seriola incana
Barnadesia ulicina
Carex macrosolen
Bromus haenkeanus
Anemone decapetala var. decapetala
Chaetanthera obtusata
Azorellopsis trisecta
Imperata arundinacea var. condensata
Polyachyrus calderensis
Carex pleioneura
Mulinum laxum
Scirpus striatulus
Echinopsis spinibarbis
Mutisia candolleana
Centaurea  chilensis var. stenolepis
Viviania rosea
Chenopodium sparsiflorum
Calceolaria miserrima
Asarca glandulifera
Hebe salicifolia
Haplopappus vidalii
Lycopus europaeus
Chuquiraga ulicina subsp. ulicina
Oxalis macropus
Nassella barbinodis
Calceolaria skottsbergii
Uncinia bella
Arrhenachne juncea
Lamium purpureum
Euphorbia hirta var. ophtalmica
Deschampsia eminens var. discreta
Habranthus berteroanus
Cheilanthes pilosa
Perezia recurvata subsp. beckii
Seriola tenuifolia
Conyza gayana
Tylloma rotundifolium
Festuca spianantha
Poa julietii
Blechnum auriculatum var. trilobum
Patagonium brachycarpum
Schinus marchandii
Chenopodium petiolare
Oxalis squamata
Schizachyrium sanguineum
Senecio danyausii var. ß
Patagonium hystrix
Bipinnula mystacina
Calandrinia petiolata
Gnaphalium stachydifolium var. berterianum
Lychnis terminalis
Teucrium heterophyllum
Melandrium andicolum var. nubigenum
Hexaptera frigida
Sisyrinchium convallium
Nasturtium eggersii
Nolana acuminata
Lagenophora commersonii
Tylloma eurylepis
Berberis montana var. chillanensis
Paronychia australis
Dichondra sericea var. microcalyx
Cyperus fuscus
Neoporteria monte-amargensis
Astragalus vesiculosus
Cochranea myosotifolia
Porophyllum ruderale var. glandulosum
Gayophytum robustum
Pyrrocoma canescens
Scirpus montanus
Camissonia dentata
Oxalis rigida
Malva nicaeensis
Brodiaea philippiana
Stachys salviae
Haplopappus acerosus
Haplopappus multifolius subsp. baccharidiformis
Zameioscirpus gaimardiodes
Flotovia excelsa
Convolvulus filifolius
Chloraea unguis-cati
Dichelachne micrantha
Acanthonychia ramosissima
Phacelia magellanica fma. pinnata
Malesherbia foliosa
Micromeria pusilla
Aster densifolius
Schinus polygama
Polypodium billardieri var. magellanicum
Nastanthus diazi
Brachyclados caespitosus
Astragalus macrophysus var. robustus
Tiltilia pungens
Equisetum bogotense
Nolana paradoxa var. violacea
Calandrinia sericea var. phalacra
Evolvulus araucanus
Valenzuelia trinervis
Trifolium tomentosum
Ocyroe armata
Solanum pyrrhocarpum
Cenchrus myosuroides
Senecio doñae-annae
Trisetum fraudulentum
Montiopsis cumingii
Sisymbrium pinnatum var. pubescens
Aster philippii
Pseudognaphalium illapelinum
Robinsonia masafuerae
Echinocactus aspillagae
Gamochaeta suffruticosa
Patagonium mucronatum var. asperum
Senecio volubilis
Solanum styleanum
Adesmia lanata
Adesmia hemisphaerica
Dioscorea brachybotrya
Senecio gnidioides var. gilvus
Ammannia coccinea
Mutisia friesiana
Melilotus officinalis
Chuquiraga ulicina var. incana
Senecio websteri
Trisetum lasiolepis
Alona fonckii
Bromelia joinvillei
Bowlesia tripartita var. dumertorum
Rumex conglomeratus var. vulgaris
Acanthocladus tehuelchum
Polyachyrus cinereus
Leuceria cinerea
Trifolium glomeratum
Gilliesia isopetala
Bromus megalachne
Azorella patagonica
Lathyrus gracillimus
Salvia scrobiculata
Lucilia araucana
Carex melanolepis
Pyrrhocactus neohankeanus var. elongatus
Gaultheria pumila var. crassifolia
Eutoca pinnatifida
Adesmia obovata
Notanthera poeppigii
Arbutus vernalis
Pleurosorus inmersus
Danthonia grandiflora
Tarasa operculata
Spergularia arbuscula
Cryptantha chispae
Alchemilla neglecta
Chaetanthera tenella var. tenella
Draba azorellicola
Amsinckia angustifolia
Azorella muscoides
Asarca nudilabia
Frankenia nicolletiana var. florida
Drimys punctata
Cyperus eragrostis var. compactus
Asarca litoralis
Ceroxylon australe
Salix viminalis
Chenopodium multifidum var. microcarpum
Acanthocalycium formosum
Myosotis discolor subsp. discolor
Phytolacca bogotensis var. australis
Aristotelia macqui
Asplenium trapezoides
Chaetanthera minuta
Cactus villosus
Plantago brachyantha
Navarretia gracilis
Aster exilis var. australis
Oxybasis antarctica
Fascicularia kirchhoffiana
Eriosyce napina
Blechnum magellanicum var. cycadifolium
Polemonium antarcticum
Cristaria urmenetae
Draba hatcheriana
Viguiera atacamensis
Caesalpinia prostrata
Rosa rubiginosa
Microdonta nana
Loasa floribunda var. brachysepala
Cochranea parviflora
Hesperis leptocarpa
Calceolaria chelidonioides
Nolana chastenayana
Nassauvia diffusa
Nototriche turritella
Aeschynomene papposa
Oenothera glazioviana
Viola lanifera
Juncodes leiboldii
Senecio linariifolius var. discoideus
Tomostima australis
Schinus kauselii
Boaria molinae
Phyla nodiflora var. reptans
Gutierrezia copiapina
Ourisia rancoana
Erigeron biflorus
Erigeron ibari
Anthriscus sylvestris
Polypogon brachyatherus
Microphyes robustus
Senecio bracteolatus var. valderramae
Ceratophyllum oxyacanthum
Astragalus monticola
Gunnera pyramidalis
Peumus rubra
Symphyochaeta macrocephala
Heliotropium breanum
Centella asiatica
Gavilea feuilleana
Hieracium gayanum
Valerianella eriocarpa
Potamogeton filifolius
Margyricarpus setosus var. digynus
Tropaeolum brachyceras
Polypodium feuillei fma. basiscopicum
Copiapoa dealbata var. carrizalensis
Bidens laevis
Adesmia trifoliata
Azorella boelckei
Sphaerocionium bridgesii
Lactuca serriola
Mutisia elegans
Centaurea calcitrapa
Muehlenbeckia fruticulosa
Lomatia chilensis
Pernettya myrtilloides var. nana
Valeriana atacamensis
Boopis monocephala
Calceolaria pinifolia
Ourisia ruelloides
Noticastrum erectum
Galium murale
Agalinis linarioides
Ranunculus chilensis var. lasius
Brassica oleracea
Podocarpus salignus
Plagiobothrys patagonicus
Zanthoxylum externum
Epilobium magellanicum
Acaena plioglochin
Trifolium chilense
Oenothera valdiviana
Cryptantha subamplexicaulis
Notholaena tomentosa
Bromus lithobius
Oxalis puberula
Lathyrus ovalifolius
Calystegia sepium
Pogonia tetraphylla
Nototriche nana
Tupa blanda
Taraxacum gilliesii
Wintera aromatica
Micrococos chilensis
Cistanthe densiflora
Viola buchtienii
Perezia diversifolia
Adesmia bijuga
Anisomeria littoralis
Brachypappus smithii
Berberis dulcis
Luma correifolia
Metharme lanata
Gnaphalium peteroanum
Polypodium gramineum
Bowlesia dichotoma var. digitata
Lemna valdiviana var. minima
Eriosyce kunzei var. transitensis
Epilobium chilense var. macrum
Porophyllum ruderale var. ellipticum
Apium leptophyllum
Metazanthus grandiflorus
Pozoa coriacea
Stipa longiflora
Gnaphalium cymathoides var. glabrum
Hesperogreigia berteroi
Verbascum thapsus
Berberis buxifolia var. nuda
Baccharis macraei var. lucida
Carex chubutensis
Patagonium villanuevae
Astragalus reichei
Chamaesaracha engelmannii
Tristagma poeppigianum
Phaca macrophysa
Gaultheria marticorenae
Eryngium pseudojunceum
Calycera herbacea var. viridiflora
Chusquea quila var. laxiflora
Schizanthus floribundus
Cardamine vulgaris var. micropetala
Alstroemeria oculata
Leuceria sonchoides
Stenodraba fastigiata
Gaultheria poeppigii var. linifolia
Myostemma ananuca
Sisyrinchium colchaguense
Cissus deficiens
Alopecurus antarcticus var. lechleri
Trisetum andicola
Cruckshanksia chrysantha
Pyrrhocactus pygmaeus
Junellia caespitosa
Schizanthus splendens
Senecio filaginoides
Senecio paucidentatus
Oriastrum pentacaenoides
Leucheria paniculata
Rhodophiala amarylloides
Adesmia prostrata var. eglandulosa
Solanum ligustrinum
Lasiorhiza purpurea
Trechonaetes parviflora
Senecio linariifolius var. heliophytoides
Verbena philippiana
Teucrium bicolor
Parasenegalia visco
Leucocoryne vittata
Oxybaphus cordifolius
Grammitis patagonica
Spergularia floribunda
Piqueria pinifolia
Isoetes hieronymi
Oenothera propinqua var. sparsiflora
Villaresia gongonha var. pungens
Tragacantha chrysantha
Senecio polyphyllus var. antucensis
Conyza lateralis
Zostera chilensis
Nicotiana parviflora
Pseudognaphalium perpusillum
Cheilanthes doradilla
Solaria cuspidata
Parapholis incurva
Polypodium macrocarpum
Oxalis exigua
Ophioglossum vulgatum var. crotalophoroides
Carex fuscula var. fuscula fma. fuscula
Tragacantha longior
Spinoliva ilicifolia
Nothofagus glauca
Nototriche auricoma
Aspidium berterianum
Loasa patagonica
Medicago minima
Rimacactus laui
Poa darwiniana
Nastanthus spathulatus var. spathulatus
Fagus nitida
Hesperis suffruticosa
Neoporteria microsperma var. serenana
Anoda cristata
Embothrium coccineum var. obovatum
Evolvulus sericeus
Erigeron vidali
Helosciadium laciniatum
Homoianthus brevicaulis
Ophioglossum melipillense
Dioscorea longifolia
Calceolaria alba
Solanum remyanum
Nastanthus agglomeratus var. gilliesii
Osteocarpus clavatus
Imperata cylindrica var. condensata
Centaurodendron dracaenoides
Neochilenia recondita
Mirabilis ovata
Solanum chiloense
Bowlesia uncinata
Salvia biflora
Carex schedonautos
Azorella trifoliolata
Hymenophyllum peltatum var. minor
Fuchsia gracilis var. macrostema
Juncus cognatus
Lycium chilense var. tomentosulum
Satureja parvifolia
Leucheria glacialis
Rhodostachys albo-bracteata
Senecio vulgaris
Luma ferruginea
Anisophyllum besseri
Horridocactus choapensis
Abrotanella submarginata
Alstroemeria lacrima-solis
Nicotiana longiflora var. oligantha
Trophaeum violaeflorum
Serapias lutea
Cumulopuntia boliviana subsp. ignescens
Cristaria trifida
Lepidium myrianthum
Carex chilensis
Gunnera masafuerae
Oriastrum sphaeroidale
Solanum sembarto
Chenopodium philippianum
Polystichum mohrioides fma. latifolia
Ranunculus pseudocaltha fma. minor
Mutisia retusa var. pulchella
Lobelia polyphylla fma. bracteosa
Bromus unioloides var. coloratus
Hedyotis chiloensis
Oenothera gracilis
Senecio pentaphyllus
Festuca erecta var. cirrosa
Weberbauera colchaguensis
Lasiorhiza anthemidifolia
Myriophyllum ternatum
Oxalis campanensis
Cyphocarpus rigescens
Struthiopteris hastata
Phacelia circinata var. obtusiloba
Adesmia micrantha
Neochilenia totoralensis
Crassula drummondii
Asplenium gilliesii
Pereskia philippii
Lomaria andicola
Pyrrhocactus chilensis
Berberis wawrana
Senecio valdivianus
Ourisia pallens
Eriosyce eriosyzoides var. carrizalensis
Oxalis tacorensis
Caiophora absinthiifolia
Carex kingii
Haplopappus diplopappus
Astragalus reedii
Coprosma oliveri
Carex lechleriana
Boopis australis
Dicksonia elegans
Calandrinia diffusa
Bromus catharticus
Eugenia barneoudii
Mecosorus trilobus
Escallonia pulverulenta var. berteriana
Chaetanthera tenuifolia var. eryngioides
Chaetanthera elegans var. pratensis
Sisymbrium amplexicaule
Erodium malacoides var. malacoides
Tylloma albiflorum
Lasiorhiza glabra
Trichocline aurea
Viguiera corymbosa
Adiantum sulphureum
Triptilion pusillum
Erythrostemon gilliesii
Tristagma ameghinoi
Gleichenia quadripartita
Lardizabala sylvicola
Senecio masafuerae
Copiapoa albispina
Fuchsia magellanica var. gracilis
Hesperis pusilla
Sisymbrium athrocarpum
Polypodium inaequalifolium
Lysimachia repens
Arundo australis
Cistanthe celosioides
Potamogeton reniacoensis
Cinnagrostis setiflora
Vicia depauperata
Haplopappus mieresii
Bowlesia tropaeolifolia var. tripartita
Adesmia echinus
Acetosella fruticula
Sisymbrium orientale
Grammatocarpus cumingii
Centaurium  pulchellum
Prosopis alba
Lobelia mucronata fma. hookeri
Senecio keshua
Adiantum glanduliferum
Gamochaeta simplicicaulis
Oriastrum polymallum
Rytidosperma pictum var. bimucronata
Poa borchersii
Trifurcia lahue subsp. lahue
Balbisia berteroi
Hypochaeris chondrilloides
Lomaria uliginosa
Oenothera nana
Hordeum halophilum
Montiopsis copiapina
Papaver dubium
Cephalophora punctata
Aira caespitosa
Zephyranthes laeta
Ophioglossum vulgatum var. valdivianum
Senecio soloanus
Tropaeolum majus
Acrostichum glaucum
Poa subenervis var. spegazziniana
Calceolaria lanceolata var. acutifolia
Piptochaetium bicolor
Ugni krausei
Pernettya mucronata var. mutica
Solanum sanfurgoi
Myrteola repens
Lathyrus eurypetalus
Gochnatia foliolosa var. fascicularis
Lophosoria quadripinnata fma. viridifolia
Juncus bufonius
Bidens pseudocosmos
Polycarpon magellanicum
Opuntia poeppigii
Valeriana laxa
Baccharis santelicis subsp. chrysophylla
Schizaea fistulosa var. australis
Plantago truncata var. philippii
Gymnostyles chilensis
Calceolaria fulva fma. viscosa
Pitraea cuneato-ovata
Phaca arnottiana
Veronica officinalis
Neuontobotrys berningeri
Saxifragodes albowiana
Reseda lutea
Herpestis andicola
Cacalia porophyllum
Phalaris chilensis
Stipa humilis var. speciosa
Oenothera odorata
Cynoglossum azocartii
Menonvillea gayi
Escallonia viscosa
Ourisia racemosa
Sagina crassifolia
Alstroemeria bicolor
Alstroemeria recumbens
Junellia glauca
Trophaeum polyphyllum
Senecio scorzonerifolius
Escallonia flavescens
Jarava ibarii
Dolia deserticola
Niederleinia chubutensis
Aspidium gongylodes
Mertensia magellanica
Forstera muscifolia
Echinocactus nidus
Gynerium atacamense
Triptilion millefolium
Fragosa spinosa
Hordeum pubiflorum subsp. pubiflorum
Gymnogramme papaverifolia
Pyrrhocactus echinus
Calceolaria vernicosa
Anthoxanthum utriculatum
Tecophilaea violiflora
Calandrinia ciliata
Rapuntium lucaeanum
Atriplex hortensis
Pyxidanthera spathulata
Horridocactus garaventai
Ranunculus minutiflorus
Chabraea fragans
Loasa sclareifolia
Gnaphalium filaginea
Schizanthus sanromanii
Ipomoea paposana
Bargemontia gracillima
Heliotropium philippianum
Johowia fernandezia
Agrostis scotantha
Nolana leptophylla
Lobularia maritima
Panargyrum latifolium
Mutisia acuminata var. hirsuta
Calceolaria arachnoidea var. viridis
Cephalophora setigera
Muehlenbeckia hastulata var. hastulata
Bromus berteroanus
Ranunculus colliguensis
Oxypetalum parvifolium
Lepidothamnus fonkii
Senecio pygmophyllus
Senecio ricardii
Potamogeton pectinatus var. striatus
Discaria articulata
Libertia umbellata
Opuntia atacamensis
Fuchsia magellanica var. typica
Trifolium simplex
Cardamine chilensis var. valdiviana
Schizanthus angustifolius
Scirpus constitutionis
Calycera  eryngioides
Leuceria anthemidifolia
Schoenoplectiella mucronata
Calyxhymenia expansa
Stipa amethystina
Festuca acanthophylla
Stenodraba colchaguensis
Eritrichium hispidum
Nolana flaccida
Colletia spinosa var. veprecula
Senecio angustissimus
Copiapoa cinerascens var. applanata
Androsace pusilla
Ribes brachystachya
Sagittaria montevidensis subsp. chilensis
Geanthus humilis
Tristagma nivale
Myrtus darwinii
Chabraea thermarum
Jarava humilis
Hypochaeris thrincioides
Epilobium tetragonum
Anarthrophyllum gayanum
Trophaeum jarrattii
Eritrichium calycinum
Schizopetalon corymbosum
Prosopis schinopoma
Bromidium hygrometricum var. anomalum
Belloa nivea
Triteleia violacea
Adesmia senticula
Polyachyrus foliosus
Trophaeum speciosum
Polycarpon moreiranum
Panke anapodophyllifolia
Calceolaria darwinii
Viola dasyphylla
Gaultheria renjifoana
Plagiobothrys armeriifolius
Acaena argentea var. coriacea
Litrea crenata
Sisyrinchium junciforme
Phegopteris poeppigii
Oxalis leptocaulos
Luma stenophylla
Cardamine granulata
Lycium stenophyllum
Apium flexuosum
Neochilenia kraussii
Solaria brevicoalita
Carex nitens
Senecio pfisteri
Bowlesia elegans
Azara sparsiflora
Ranunculus flagelliformis
Azorella ameghinoi
Tupa polyphylla var. besseriana
Conyza elata
Neoporteria woutersiana
Coriaria ruscifolia
Tillaea closiana
Juncus exiguus
Acaena caespitosa
Agrostis kuntze
Escallonia coquimbensis
Agoseris coronopifolia
Carex argentina
Leptochloa fusca subsp. uninervia
Eugenia raran
Neoporteria jussieui var. trapichensis
Braya pectinata
Calceolaria tenella
Asplenium triphyllum
Habenaria pumila
Dioscorea bryoniifolia
Vicia acerosa
Myrrhis renjifoana
Deschampsia eminens var. fulva
Dendroseris marginata
Haplopappus breviradiatus
Oxalis microphylla
Calceolaria petioalaris var. oblongifolia
Poa lanuginosa var. patagonica
Artemisia tridentata
Dichondra repens var. sericea
Fuchsia macrostema var. grandiflora
Erigeron larrainianus
Stachys macraei
Cryptocarya alba
Blepharocalyx divaricatus var. pauciflorus
Senecio espinosae
Quinchamalium brevifolium
Haplopappus multifolius subsp. ovalifolius
Haplopappus humilis
Colletia spinosa var. pungens
Calandrinia megarhiza
Adesmia intricata
Werneria brachypappa
Codonorchis poeppigii
Silene andicola
Hippeastrum berteroanum
Echinopsis nigripilis
Alona micrantha
Diomedea thurifera
Distichlis hirsuta
Baccharis paniculata
Plantago macrantha var. nitidifolia
Gaultheria angustifolia
Hypochaeris berteroi
Viola pulvinata
Thelocephala glabrescens
Sonchus arvensis
Pyrrhocoma linifolia
Ambrosia chamissonis
Melica commutata
Erinus laciniatus
Isolepis ranko
Dryopteris metteniana
Ranunculus sericocephalus var. major
Eugenia maritima
Oxychloë andina
Hydrocotyle pauciflora
Festuca desvauxii var. ampla
Hippeastrum advenum
Nicotiana cardiophylla
Triptilion dusenii
Nolana rupestris
Pseudognaphalium moelleri
Gaultheria pumila var. pumila
Sageretia trinervis
Nassauvia glomerulosa fma. struthionum
Agrostis antarctica
Atriplex imbricata var. imbricata
Betckea heterophylla
Nolana reichei
Gentianella magellanica
Crassula connata var. erectoides
Juncus subtenuis
Phlebodium lanceolatum
Senecio paralias
Arctium minus
Rhodophiala bagnoldii
Heliotropium pycnophyllum
Hymenophyllum subtilissimum
Chorizanthe viridis
Senecio heterophyllus
Gnaphalium citrinum
Piptochaetium mucronatum
Alstroemeria aurea var. valparadisiaca
Nassella johnstonii
Oreopolus patagonicus
Chaetanthera tenuifolia
Menonvillea orbiculata fma. glabra
Phacelia circinata var. paniculata
Tragacantha monticola
Nicotiana corymbosa
Dendroseris micrantha
Philippicereus castaneus
Cineraria leucanthema
Polystichum andinum
Sisyrinchium limarinum
Sisymbrium philippianum
Oenothera tenuifolia
Asplenium patagonicum
Hymenophyllum falklandicum var. elongatum
Myrceugenia lechleriana
Polypodium intermedium var. basicompositum
Deschampsia elegantula var. patula
Aphanes arvensis
Cardamine geraniifolia
Senecio diazii
Junellia bryoides
Hydrocotyle modesta
Closia chilensis
Teucrium tripartitum
Acacia cavenia
Thelocephala weisseri
Sorema glutinosa
Bowlesia macrophysa
Pernettya reticulata
Sisyrinchium leucanthum
Leucheria floribunda
Senecio portalesianus
Aster eriophorus
Tropaeolum hookerianum subsp. hookerianum
Leucocoryne pauciflora
Pachylaena rosea
Miersia stellata
Helichrysum chilense
Nassella melanocarpa
Drimys winteri var. chilensis fma. andina
Cristaria aspera
Lobelia poeppigiana
Quercus robur
Chloraea hemichloris
Lotus tenuis
Nolana rhombifolia
Chaetanthera brachylepis
Senecio jaffuelii
Leucocoryne violacescens
Schoenus antarcticus
Calceolaria glandulosa
Baccharis caespitosa
Antennaria chilensis var. chilensis
Carex atropicta
Hypsela subsessilis
Aster spinuliger
Copiapoa humilis var. tenuissima
Tristagma gracile
Dipterygia flexuosa
Puccinellia laxa
Vicia valdiviana
Opuntia leoncito
Cristaria dissecta var. inconspicua
Nasturtium bonariense
Lathyrus hookeri
Troximon poepigii
Mulinum albovaginatum var. pauciflorum
Erigeron pugae
Silvaea capitata
Escallonia fernandeziana
Dolia tarapacana
Neoporteria sociabilis
Blepharocalyx divaricatus var. obovatus
Eriosyce taltalensis subsp. taltalensis
Lepidium spathulatum
Patagonium montanum
Corrigiola latifolia
Hypochaeris arenaria var. andina
Perezia pilifera
Paronychia chilensis subsp. chilensis var. chilensis
Vicia berteroana
Aspidium paucicuspis
Thyrsopteris elegans
Cineraria phylicifolia
Erigeron stuessyi
Azorella nivalis
Eleocharis costulata
Nassella chilensis var. juncea
Rubus ulmifolius
Poa bonariensis
Vicia fodinarum
Azorella crassifolia
Myrceugenia nannophylla
Stellaria pallida
Bromelia pitcairniifolia
Gomortega nitida
Leuceria nudicaulis
Glandularia sulphurea var. pedunculata
Helenium urmenetae var. leguiffei
Alstroemeria xanthina
Malesherbia pulchra
Eruca vesicaria
Baccharis racemosa
Mertensia acutifolia
Diplopappus punctatus
Cynanchum nummulariifolium
Tragacantha dodtii
Luzula excelsa
Nolana sessilifolia
Bromelia landbeckii
Peperomia doellii
Myrceugenia chrysocarpa
Suaeda multiflora
Senecio schoenemannii
Closia pusilla
Embothrium ferrugineum
Calandrinia gilliesii
Euphrasia trifida
Tupa glaucescens
Cardamine ramosissima var. micropetala
Trisetum splendidulum
Cryptantha phaceloides
Gunnera laxiflora
Juncus leersii
Carex pycnostachya var. major
Austrocylindropuntia miquelii
Adesmia genistoides
Polylepis rugulosa
Calceolaria werdermannii
Nassauvia pinnigera
Carex multispicata
Bargemontia glauca
Trisetum variabile var. vidalii
Nicoraepoa subenervis
Cuscuta chilensis
Lycopodium scariosum var. gayanum
Carex leporina
Ruizia fragrans
Empetrum nigrum var. andinum
Senecio calocephalus
Cressa truxillensis
Chiropetalum cremnophilum
Trichocline caulescens
Patagonium aphyllum
Lecanophora subacaulis
Gamochaeta deserticola
Tropaeolum aureum
Calceolaria auriculata
Mulinum ulicinum
Ribes sublobatum
Phacelia pinnatifida var. foliosa
Epilobium valdiviense
Amaranthus asplundii
Calamagrostis poaeoides
Bromelia bicolor
Lindernia dubia
Cryptantha werdermanniana
Polycladus cupressinus
Adesmia psilocarpa
Escallonia leucantha
Haplopappus acanthodon
Agrostis stolonifera
Doniophyton weddellii
Dierbachia lyciodes
Grammitis nana
Tiquilia paronychioides
Plantago oligantha
Ochetophila parvifolia
Gnaphalium gayanum
Werneria heteroloba fma. microcephala
Dryopteris inaequalifolia
Heterozostera chilensis
Luma cruckshanksii
Jaborosa riojana
Erigeron luteoviridis
Tetragonia pusilla
Rumex patagonicus
Moschopsis patagonica
Mutisia subulata var. major
Calotheca brizoides
Calandrinia gaudichaudii
Grindelia montana
Egania dioica
Copiapoa calderana
Sibara anethifolia
Cardamine hirsuta var. antiscorbutica
Tupa poeppigiana
Schyzachyrium spicatum
Oxalis purpurea
Callitriche oblongicarpa
Drimys winteri var. punctata
Albizia lophantha
Trisetum trinii var. pallidiflorus
Blumenbachia sepiaria
Ophioglossum crotalophoroides
Phaca bustillosi
Amirola glandulosa
Patagonium pulchrum
Senecio kingii var. paradoxus
Chaetanthera philippii
Neoporteria gerocephala
Xenophyllum ciliolatum
Chaetanthera multicaulis var. prostata
Nunnezharia chonta
Eryngium macracanthum
Sophora macrocarpa
Poa yaganica
Cinnagrostis rigescens
Cheilanthes macleanii
Viola asterias var. genuina
Eccremocarpus sepium
Carex sororia
Cassia stipulacea
Calceolaria chubutensis
Myrcia lechleriana
Scirpus desvauxii
Leptocionium magellanicum
Vicia vicina
Caiophora anemonoides
Boopis scapigera var. ventosa
Senecio pachyphyllos
Lampayo medicinalis
Descurainia stricta var. minutiflora
Loasa tricolor
Valeriana sphaerocarpa
Trifolium microdon
Adesmia elegans
Valeriana berterii
Senecio alfalfalis
Cistanthe picta
Verbena sulphurea var. fuscorubra
Sisyrinchium arrayanicum
Trophaeum tenellum
Apium ammi fma. pedunculata
Calceolaria mendocina
Haplopappus pulchellus var. elongaus
Phaca cruckshanksii
Festuca subantarctica
Malesherbia fasciculata var. glandulosa
Tephrocactus darwinii
Haplopappus peteroanus
Calandrinia arenaria var. subverticillata
Opuntia camachoi
Achyrophorus coronopifolius
Valeriana peltata
Cymbopogon citratus
Jaborosa crispa
Embothrium coccineum fma. lanceolatum
Ourisia breviflora
Retanilla ephedra var. crassa
Bowlesia axilliflora
Haplopappus cerberoanus subsp. elquianus
Lobelia pratiana
Chondrochilus lanatus
Phlox biflora
Senecio purpuratus var. subdiscoideus
Distichlis mendocina
Senecio brachylobus
Malvastrum humile
Neomolina darwinii
Chloraea perez-moreaui
Chuquiraga alpina
Luma chequen
Patagonium parviflorum var. diffusum
Leucocera sympaganthera
Schizaea chilensis
Glandularia landbeckii
Eritrichium collinum
Amaranthus hybridus subsp. hybridus
Melica exaltata
Plantago stenopetala
Pingraea sphaerocephala
Mutisia sinuata var. brachycephala
Neoporteria jussieui var. huascensis
Neoporteria intermedia var. calderana
Briza sesquiflora
Myrceugenia correifolia
Griselinia jodinifolia
Nowodworskya imberbis
Nastanthus agglomeratus var. laciniatus
Cryptantha limensis
Myrtobium microphyllum
Calandrinia depressa
Desfontainia parvofolia
Allocarya capitata var. longipes
Bidens andicola var. decomposita
Myrceugenia rufa
Gnaphalium andicola
Baccharis obovata subsp. umbelliformis
Stipa bicolor
Ranunculus stenopetalus
Mulinum hirsutum
Fagus obliqua var. dentatosquamata
Malva chilensis
Clarionea spectabilis
Polypodium magellanicum
Oxalis josephii
Carex poeppigii
Phacelia parviflora
Monnina angustifolia
Colletia spartioides
Viviania rosea var. ovata
Mutisia microphylla
Lathyrus trigonus
Spergula pissisi
Schizanthus porrigens
Festuca patagonica
Poa bulbosa subsp. bulbosa
Lepigonum grandiflorum
Lomaria hastata
Ranunculus cymbalaria
Calandriniopsis umbellata
Blechnum x rodriguezii
Rapuntium hyssopifolium
Eritrichium involucratum
Eragrostis deserticola
Kageneckia crataegifolia
Onoseris atacamensis
Conanthera johowii
Juncus acutus var. leopoldii
Habranthus andersonii
Pernettya litoralis
Valeriana stricta
Senecio cuneatus
Caltha involuta
Patagonium parvifolium var. axillare
Senecio corrugatus
Lasiorhiza rosea var. andryaloides
Alstroemeria paupercula
Festuca morenensis
Cassia arnottiana var. andina
Ophioglossum reticulatum
Calceolaria inamoena
Galium lanatum
Cryptantha involucrata
