Isolepis nodosa
Bulliarda magellanica
Argemone rosea
Diplopappus foliosus
Haplopappus angustifolius subsp. saxatilis
Typha angustifolia
Junellia tridactylites
Juncus arcticus var. andicola
Copiapoa megarhiza
Anarthrophyllum umbellatum
Valeriana gilliesii
Opuntia dactylifera
Cardamine alsophila var. pusilla
Patagonium godoyae
Myrtus multiflora
Carex pedicellata
Chorizanthe densa
Acrostichum albidulum
Acetosella micrantha
Melanthium pumilum
Epilobium valdivense var. alboffii
Gnaphalium monticola
Agrostis cognata
Quinchamalium litorale
Fagus valdiviana
Baccharis longipes var. angustissima
Alstroemeria pulchra subsp. pulchra var. maxima
Tupa coquimbana
Senecio leyboldtii
Allionia ovata
Scirpus maculosus
Trichocereus litoralis
Phytolacca volubilis
Polypodium patagonicum
Hybanthus parviflorus var. argentinensis
Galium gilliesii
Oxybaphus ovatus
Chloraea chlorosticta
Misodendrum macrophyllum
Rapuntium mucronatum
Viola decipiens
Festuca chrysophylla
Geranium proximum
Baccharis caespitosa var. alpina
Elatine chilensis
Urachne chilensis
Astragalus canescens var. pissisii
Alona glandulosa
Xenophyllum lycopodioides
Monttea chilensis var. taltalensis
Draba andina
Selinum proliferum
Alstroemeria parvula
Trisetum trinii var. litorale
Cardamine flavescens
Collomia biflora
Bathya lucida
Myosurus aristatus var. apetalus
Galium chonoense var. valdivianum
Homoeanthus remyanus
Mutisia hastata
Eudema werdermannii
Nothofagus megalocarpa
Eutoca pedunculosa
Bowlesia nodiflora
Notopappus prunelloides
Argylia chrysantha
Embothrium obliquum
Melosperma glabra
Lachemilla pinnata
Solanum physalifolium var. nitidibaccatum
Chaetanthera eryngioides
Piptochaetium verrucosum
Lucuma keule
Senecio tricuspidatus var. dentatus
Loasa volckmanni
Agrostis canina var. umbellata
Erigeron turricola
Chenopodium ambrosioides subsp. chilense
Draba gilliesii fma. araucana
Schizostemma kingii
Patagonium frigidum
Chenopodium mandonii
Descurainia rubescens
Orobanche minor
Blechnum schottii
Gentiana peruviana
Cardamine hirsuta var. soehrensii
Agrostemma githago
Cardamine palenae
Goodenia radicans
Lycopersicon atacamense
Bothriochloa barbinodis
Hybanthus parviflorus var. parviflorus
Proustia cinerea
Vermifuga corymbosa
Senecio bakeri
Huperzia fuegiana
Dicolus caerulescens
Carthamus lanatus
Phaca reedi
Lycium filifolium var. minutifolium
Hymenophyllum mettenii
Phacelia simplicifolia
Senecio debilis
Dittrichia graveolens
Periloba sessiliflora
Bellota nitida
Plantago clausa
Cruckshanksia hymenodon
Arrhenatherum elatius var. elatius
Portalesia procumbens
Scirpus philippii
Stellaria stenopetala var. magellanica
Euphorbia ovalleana
Solaria attenuata
Robinsonia gayana
Adesmia deserticola
Malva belloa
Baccharis concava var. floribunda
Azorella volcanica
Godetia quadrivulnera var. tenella
Egania apiculata
Erigeron philippii
Hypochaeris nahuelvutae
Argylia bustillosii
Viola parvifolia
Clarkia tenella subsp. tenuifolia
Gothofreda confertiflora
Escallonia arguta
Eugenia divaricatum var. pauciflora
Malva parviflora
Pyrrhocactus simulans
Milla patagonica
Sporobolus virginicus
Nassella neesiana
Luma spectabilis
Copiapoa coquimbana var. alticostata
Hydrocotyle araucana var. patagonica
Cristaria tenuissima
Eriosyce iquiquensis
Anemone rigida
Chaetanthera humilis
Puccinellia pusilla
Solanum crassipes
Senecio albicaulis var. lobulatus
Gochnatia rigida
Stenodraba vestita
Lathyrus campestris
Eccremocarpus scaber var. sepium
Lathyrus multiceps
Dortmanna subdentata
Senecio cymosus
Trifolium incarnatum
Senecio bracteolatus var. bracteolatus
Salix caprea
Cistanthe amarantoides
Aphanostemma apiifolium
Junellia thymifolia
Peumus alba
Gentianella ottonis
Frankenia nicolletiana
Tillaea paludosa
Conyza pencana
Calandrinia capituligera
Baccharis tola var. viscosissima
Malesherbia fasciculata
Uncinia triquetra
Eulychnia spinibarbis
Pyrrhocactus taltalensis
Fumaria vaillantii
Solanum radicans
Leucojum vernum
Senecio xerophilus var. deserticola
Azara bergii
Xanthium spinosum
Carex excelsa
Aster atenes
Adesmia confusa
Epilobium leiophyton
Ribes berteroanum
Poa pratensis
Panargyrum uniflorum
Carex decidua var. minor
Phyla nodiflora var. nodiflora
Persea lingue
Astragalus cryptanthus
Arachnitis uniflora
Oxalis comberi
Ribes ahrendsii
Ionidium microphyllum
Calandrinia axilliflora
Elytropus pubescens
Quinchamalium chilense var. robustior
Oxalis carnosa var. incana
Solanum tuberosum var. vulgare
Bowlesia tropaeolifolia var. gayana
Hydrocotyle glechomoides
Coronopus didymus
Bromus fonckii
Bargemontia sedifolia
Bromus masafueranus
Baccharis umbelliformis var. typica
Polycladus abietinus
Plantago macrantha var. argentea
Isoetes argentina
Carex bonplandii
Gilliesia graminea
Chloraea homopetala
Heliophytum floridum
Diplopappus ilicifolius
Euphrasia spectabilis
Cortaderia pilosa var. minima
Asarca speciosa
Agrostis vidalii
Pernettya tenuifolia
Senecio kurtzii
Calandrinia glauca
Witheringia pinnata
Chymocarpus speciosus
Benthamiella lanata
Calceolaria densifolia subsp. densifolia
Uncinia multifaria
